"","Date","box","Team","R","RA"
"1","Monday, Apr 6","boxscore","ARI",4,5
"2","Tuesday, Apr 7","boxscore","ARI",7,6
"3","Wednesday, Apr 8","boxscore","ARI",2,5
"4","Friday, Apr 10","boxscore","ARI",4,3
"5","Saturday, Apr 11","boxscore","ARI",6,0
"6","Sunday, Apr 12","boxscore","ARI",4,7
"7","Monday, Apr 13","boxscore","ARI",8,4
"8","Tuesday, Apr 14","boxscore","ARI",1,5
"9","Wednesday, Apr 15","boxscore","ARI",2,3
"10","Thursday, Apr 16","boxscore","ARI",7,6
"11","Friday, Apr 17","boxscore","ARI",9,0
"12","Saturday, Apr 18","boxscore","ARI",1,4
"13","Sunday, Apr 19","boxscore","ARI",5,1
"14","Tuesday, Apr 21","boxscore","ARI",1,7
"15","Wednesday, Apr 22","boxscore","ARI",8,5
"16","Friday, Apr 24","boxscore","ARI",1,4
"17","Saturday, Apr 25","boxscore","ARI",1,2
"18","Sunday, Apr 26","boxscore","ARI",0,8
"19","Monday, Apr 27","boxscore","ARI",4,5
"20","Tuesday, Apr 28","boxscore","ARI",12,5
"21","Wednesday, Apr 29","boxscore","ARI",9,1
"22","Friday, May 1","boxscore","ARI",0,8
"23","Saturday, May 2","boxscore","ARI",4,6
"24","Sunday, May 3","boxscore","ARI",0,1
"25","Wednesday, May 6 (1)","boxscore","ARI",13,7
"26","Wednesday, May 6 (2)","boxscore","ARI",5,1
"27","Thursday, May 7","boxscore","ARI",11,0
"28","Friday, May 8","boxscore","ARI",5,6
"29","Saturday, May 9","boxscore","ARI",4,6
"30","Sunday, May 10","boxscore","ARI",2,1
"31","Monday, May 11","boxscore","ARI",1,11
"32","Tuesday, May 12","boxscore","ARI",14,6
"33","Wednesday, May 13","boxscore","ARI",6,9
"34","Friday, May 15","boxscore","ARI",3,4
"35","Saturday, May 16","boxscore","ARI",5,7
"36","Sunday, May 17","boxscore","ARI",0,6
"37","Monday, May 18","boxscore","ARI",3,2
"38","Tuesday, May 19","boxscore","ARI",4,2
"39","Wednesday, May 20","boxscore","ARI",6,1
"40","Thursday, May 21","boxscore","ARI",7,6
"41","Friday, May 22","boxscore","ARI",5,4
"42","Saturday, May 23","boxscore","ARI",6,9
"43","Sunday, May 24","boxscore","ARI",4,3
"44","Monday, May 25","boxscore","ARI",2,3
"45","Tuesday, May 26","boxscore","ARI",4,6
"46","Wednesday, May 27","boxscore","ARI",3,4
"47","Friday, May 29","boxscore","ARI",7,5
"48","Saturday, May 30","boxscore","ARI",7,3
"49","Sunday, May 31","boxscore","ARI",6,7
"50","Monday, Apr 6","boxscore","ATL",2,1
"51","Tuesday, Apr 7","boxscore","ATL",12,2
"52","Wednesday, Apr 8","boxscore","ATL",2,0
"53","Friday, Apr 10","boxscore","ATL",5,3
"54","Saturday, Apr 11","boxscore","ATL",5,3
"55","Sunday, Apr 12","boxscore","ATL",3,4
"56","Monday, Apr 13","boxscore","ATL",3,2
"57","Tuesday, Apr 14","boxscore","ATL",2,8
"58","Wednesday, Apr 15","boxscore","ATL",2,6
"59","Friday, Apr 17","boxscore","ATL",8,7
"60","Saturday, Apr 18","boxscore","ATL",5,6
"61","Sunday, Apr 19","boxscore","ATL",5,2
"62","Tuesday, Apr 21","boxscore","ATL",1,7
"63","Wednesday, Apr 22","boxscore","ATL",2,3
"64","Thursday, Apr 23","boxscore","ATL",3,6
"65","Friday, Apr 24","boxscore","ATL",0,1
"66","Saturday, Apr 25","boxscore","ATL",5,2
"67","Sunday, Apr 26","boxscore","ATL",4,5
"68","Monday, Apr 27","boxscore","ATL",8,4
"69","Tuesday, Apr 28","boxscore","ATL",12,13
"70","Wednesday, Apr 29","boxscore","ATL",4,13
"71","Thursday, Apr 30","boxscore","ATL",1,5
"72","Friday, May 1","boxscore","ATL",4,3
"73","Saturday, May 2","boxscore","ATL",4,8
"74","Sunday, May 3","boxscore","ATL",5,0
"75","Monday, May 4","boxscore","ATL",2,5
"76","Tuesday, May 5","boxscore","ATL",9,0
"77","Wednesday, May 6","boxscore","ATL",7,5
"78","Friday, May 8","boxscore","ATL",2,9
"79","Saturday, May 9","boxscore","ATL",6,8
"80","Sunday, May 10","boxscore","ATL",4,5
"81","Monday, May 11","boxscore","ATL",2,1
"82","Tuesday, May 12","boxscore","ATL",3,4
"83","Wednesday, May 13","boxscore","ATL",1,5
"84","Friday, May 15","boxscore","ATL",5,3
"85","Saturday, May 16","boxscore","ATL",5,3
"86","Sunday, May 17","boxscore","ATL",6,0
"87","Tuesday, May 19","boxscore","ATL",3,5
"88","Wednesday, May 20","boxscore","ATL",2,1
"89","Thursday, May 21","boxscore","ATL",10,1
"90","Friday, May 22","boxscore","ATL",0,11
"91","Saturday, May 23","boxscore","ATL",3,2
"92","Sunday, May 24","boxscore","ATL",2,1
"93","Monday, May 25","boxscore","ATL",3,6
"94","Tuesday, May 26","boxscore","ATL",0,8
"95","Wednesday, May 27","boxscore","ATL",3,2
"96","Thursday, May 28","boxscore","ATL",0,7
"97","Friday, May 29","boxscore","ATL",2,4
"98","Saturday, May 30","boxscore","ATL",8,0
"99","Sunday, May 31","boxscore","ATL",7,5
"100","Monday, Apr 6","boxscore","BAL",6,2
"101","Tuesday, Apr 7","boxscore","BAL",6,5
"102","Wednesday, Apr 8","boxscore","BAL",0,2
"103","Friday, Apr 10","boxscore","BAL",5,12
"104","Saturday, Apr 11","boxscore","BAL",7,1
"105","Sunday, Apr 12","boxscore","BAL",7,10
"106","Monday, Apr 13","boxscore","BAL",5,6
"107","Tuesday, Apr 14","boxscore","BAL",4,3
"108","Wednesday, Apr 15","boxscore","BAL",7,5
"109","Friday, Apr 17","boxscore","BAL",2,3
"110","Saturday, Apr 18","boxscore","BAL",4,1
"111","Sunday, Apr 19","boxscore","BAL",8,3
"112","Monday, Apr 20","boxscore","BAL",1,7
"113","Tuesday, Apr 21","boxscore","BAL",6,13
"114","Wednesday, Apr 22","boxscore","BAL",2,4
"115","Thursday, Apr 23","boxscore","BAL",6,7
"116","Friday, Apr 24","boxscore","BAL",5,7
"117","Saturday, Apr 25","boxscore","BAL",5,4
"118","Sunday, Apr 26","boxscore","BAL",18,7
"119","Wednesday, Apr 29","boxscore","BAL",8,2
"120","Friday, May 1","boxscore","BAL",0,2
"121","Saturday, May 2","boxscore","BAL",4,0
"122","Sunday, May 3","boxscore","BAL",4,2
"123","Tuesday, May 5","boxscore","BAL",2,3
"124","Wednesday, May 6","boxscore","BAL",1,5
"125","Thursday, May 7","boxscore","BAL",3,4
"126","Friday, May 8","boxscore","BAL",4,5
"127","Saturday, May 9","boxscore","BAL",6,2
"128","Sunday, May 10","boxscore","BAL",2,6
"129","Monday, May 11","boxscore","BAL",5,2
"130","Tuesday, May 12","boxscore","BAL",2,10
"131","Wednesday, May 13","boxscore","BAL",6,1
"132","Friday, May 15","boxscore","BAL",1,3
"133","Saturday, May 16","boxscore","BAL",1,6
"134","Sunday, May 17","boxscore","BAL",3,0
"135","Tuesday, May 19","boxscore","BAL",9,4
"136","Wednesday, May 20","boxscore","BAL",2,4
"137","Thursday, May 21","boxscore","BAL",5,4
"138","Friday, May 22","boxscore","BAL",8,5
"139","Saturday, May 23","boxscore","BAL",0,1
"140","Sunday, May 24","boxscore","BAL",2,5
"141","Monday, May 25","boxscore","BAL",4,3
"142","Tuesday, May 26","boxscore","BAL",1,4
"143","Wednesday, May 27","boxscore","BAL",5,4
"144","Thursday, May 28 (1)","boxscore","BAL",2,3
"145","Thursday, May 28 (2)","boxscore","BAL",6,3
"146","Friday, May 29","boxscore","BAL",2,1
"147","Saturday, May 30","boxscore","BAL",0,3
"148","Sunday, May 31","boxscore","BAL",5,9
"149","Monday, Apr 6","boxscore","BOS",8,0
"150","Wednesday, Apr 8","boxscore","BOS",2,4
"151","Thursday, Apr 9","boxscore","BOS",6,2
"152","Friday, Apr 10","boxscore","BOS",6,5
"153","Saturday, Apr 11","boxscore","BOS",8,4
"154","Sunday, Apr 12","boxscore","BOS",4,14
"155","Monday, Apr 13","boxscore","BOS",9,4
"156","Tuesday, Apr 14","boxscore","BOS",8,7
"157","Wednesday, Apr 15","boxscore","BOS",5,10
"158","Friday, Apr 17","boxscore","BOS",3,2
"159","Saturday, Apr 18","boxscore","BOS",1,4
"160","Sunday, Apr 19","boxscore","BOS",3,8
"161","Monday, Apr 20","boxscore","BOS",7,1
"162","Tuesday, Apr 21","boxscore","BOS",1,0
"163","Wednesday, Apr 22","boxscore","BOS",5,7
"164","Thursday, Apr 23","boxscore","BOS",1,2
